Lat,Lng,Alt
34.1199632,-118.75308199999999,275.08
34.1199671,-118.7530831,275.54
34.119971,-118.7530841,276.02
34.119974899999995,-118.75308509999999,276.47
34.1199787,-118.753086,276.91
34.1199825,-118.7530869,277.31
34.1199863,-118.75308799999999,277.71
34.119990099999995,-118.75308919999999,278.14
34.119994,-118.75309039999999,278.56
34.1199981,-118.7530917,279.01
34.1200021,-118.75309299999999,279.43
34.1200061,-118.7530943,279.87
34.120010199999996,-118.7530956,280.3
34.1200143,-118.7530967,280.64
34.1200184,-118.753098,281.05
34.120022299999995,-118.7530994,281.47
34.1200261,-118.75310069999999,281.88
34.12003,-118.75310209999999,282.27
34.120034,-118.7531034,282.63
34.120038,-118.7531049,283.01
34.1200421,-118.7531066,283.43
34.1200462,-118.75310809999999,283.84000000000003
34.120050299999996,-118.7531094,284.25
